a11,a12,a21,a22,b11,b12,b21,b22,c11,c12,c21,c22
-7,8,-8,-4,-17,16,-14,-7,7,-168,192,-100
-4,-13,20,16,-3,-13,18,-12,-222,208,228,-452
-19,3,15,7,-1,-17,-12,-8,-17,299,-99,-311
18,-13,-15,7,19,-6,-16,14,550,-290,-397,188
8,-12,-17,11,15,1,-8,8,216,-88,-343,71
-19,17,-19,-3,4,-15,-13,-14,-297,47,-37,327
19,-11,-13,-1,18,-16,-20,7,562,-381,-214,201
-3,-15,-19,19,-8,10,14,10,-186,-180,418,0
6,-17,15,20,-14,1,7,-14,-203,244,-70,-265
-8,-16,-11,10,-10,-8,-16,-4,336,128,-50,48
-11,-8,-20,17,-20,7,10,-9,140,-5,570,-293
-13,-8,0,-16,19,-12,-3,-13,-223,260,48,208
-4,-15,1,-10,3,15,-17,-1,243,-45,173,25
-11,-15,15,10,-12,7,16,-14,-108,133,-20,-35
-2,5,10,15,-14,-10,-8,-7,-12,-15,-260,-205
1,-16,-4,-9,-2,-13,18,-9,-290,131,-154,133
-3,-4,1,12,-2,-18,-19,-6,82,78,-230,-90
-18,-12,4,-17,16,-18,-7,11,-204,192,183,-259
15,3,-18,4,-1,9,-15,17,-60,186,-42,-94
18,17,3,6,-2,-13,-19,-14,-359,-472,-120,-123
-14,16,0,-4,-5,6,-13,-15,-138,-324,52,60
-6,18,12,-20,18,10,-17,-1,-414,-78,556,140
-11,17,19,20,-6,-3,8,-12,202,-171,46,-297
2,9,14,-4,-16,-14,8,3,40,-1,-256,-208
0,-20,11,-8,-6,10,0,-3,0,60,-66,134
17,-2,19,9,-19,18,0,1,-323,304,-361,351
-3,0,10,-10,15,-14,-5,20,-45,42,200,-340
-6,1,14,15,20,5,-12,19,-132,-11,100,355
5,-4,20,-20,6,-18,-1,-7,34,-62,140,-220
-1,15,-2,19,14,9,16,-1,226,-24,276,-37
-6,12,20,16,13,-11,2,-17,-54,-138,292,-492
-2,12,-13,-4,-5,20,5,0,70,-40,45,-260
3,-9,7,17,17,-14,-6,11,105,-141,17,89
-5,-2,-20,-6,-4,-15,-13,16,46,43,158,204
10,20,17,14,19,15,17,12,530,390,561,423
20,14,3,-12,-6,-5,8,-13,-8,-282,-114,141
-13,-7,2,8,14,13,-1,5,-175,-204,20,66
8,-11,-3,-8,19,5,-2,-15,174,205,-41,105
-12,11,17,-16,-12,-1,18,8,342,100,-492,-145
-7,1,-13,-4,-18,-15,-3,-2,123,103,246,203
3,1,-5,9,1,17,17,16,20,67,148,59
-16,0,17,-18,-11,-5,-15,18,176,80,83,-409
7,19,-4,9,-16,-6,8,0,40,-42,136,24
19,-7,-17,4,-17,-17,20,13,-463,-414,369,341
-10,-15,-2,-9,-19,-10,-1,19,205,-185,47,-151
10,-11,16,13,2,-19,-19,-20,229,30,-215,-564
4,-10,9,15,-14,19,-7,-18,14,256,-231,-99
11,-4,10,8,12,11,-6,18,156,49,72,254
18,0,-14,8,7,-19,4,-15,126,-342,-66,146
4,-2,18,9,1,12,-4,2,12,44,-18,234
12,-9,12,12,8,5,1,3,87,33,108,96
9,-9,9,-14,-13,15,-2,4,-99,99,-89,79
3,1,2,-15,-8,-8,-16,-4,-40,-28,224,44
5,11,-12,-15,-6,14,-17,1,-217,81,327,-183
-17,-15,-3,-5,-4,-20,-19,12,353,160,107,0
-18,-5,15,-17,11,-16,-19,-15,-103,363,488,15
7,-8,-12,8,9,-11,-1,-19,71,75,-116,-20
-11,-2,14,18,1,-2,-2,0,-7,22,-22,-28
19,10,-12,9,-18,-14,-19,19,-532,-76,45,339
-14,8,-18,-15,4,-20,-6,-11,-104,192,18,525
17,5,-17,5,12,17,-15,-3,129,274,-279,-304
-3,0,4,-19,-1,2,8,-12,3,-6,-156,236
8,9,-3,-17,10,19,14,-5,206,107,-268,28
1,20,6,20,-14,2,6,5,106,102,36,112
-4,5,-10,-12,2,-7,-12,-4,-68,8,124,118
7,-8,-10,4,8,-19,-9,18,128,-277,-116,262
0,10,-4,6,-8,11,-7,-9,-70,-90,-10,-98
19,-5,7,-15,-19,9,-5,0,-336,171,-58,63
17,1,-15,14,19,4,-7,-15,316,53,-383,-270
-10,20,5,3,-5,18,-4,3,-30,-120,-37,99
15,-17,-14,4,14,3,5,19,125,-278,-176,34
1,18,-20,-14,-20,4,5,12,70,220,330,-248
12,12,6,4,18,13,-18,-4,0,108,36,62
-19,13,-20,-1,9,0,-14,2,-353,26,-166,-2
0,12,-9,-4,-12,5,-9,19,-108,228,144,-121
5,-12,-3,8,17,11,-9,-6,193,127,-123,-81
10,-14,0,-20,-5,0,-12,-14,118,196,240,280
9,-12,12,-11,-14,6,-1,10,-114,-66,-157,-38
0,-14,-1,-10,16,6,-13,16,182,-224,114,-166
-6,-17,7,-10,-17,5,-5,4,187,-98,-69,-5
-4,-9,5,6,-5,17,-9,15,101,-203,-79,175
18,14,2,-17,16,19,-1,-18,274,90,49,344
-4,-1,-2,13,6,11,-11,-9,-13,-35,-155,-139
10,-2,9,14,-6,-6,16,-12,-92,-36,170,-222
-4,14,-1,-7,4,-4,15,10,194,156,-109,-66
-8,-11,17,-4,17,-14,-3,17,-103,-75,301,-306
-7,16,-10,14,-5,10,13,0,243,-70,232,-100
20,-10,4,-20,-19,20,-12,-5,-260,450,164,180
-8,19,-12,-18,-17,-15,4,-9,212,-51,132,342
-15,5,6,13,8,5,5,17,-95,10,113,251
-14,20,-5,10,2,13,-6,-9,-148,-362,-70,-155
7,-19,12,20,-8,-6,1,-8,-75,110,-76,-232
-2,15,-15,-12,7,20,12,9,166,95,-249,-408
16,-8,-19,9,-1,-10,11,-14,-104,-48,118,64
12,10,-18,5,10,-8,-5,9,70,-6,-205,189
-20,13,-17,-11,3,0,4,10,-8,130,-95,-110
8,12,1,4,13,0,2,14,128,168,21,56
6,-2,4,-12,-13,-16,17,-14,-112,-68,-256,104
-18,7,7,-15,3,10,3,7,-33,-131,-24,-35
-15,4,-19,8,15,16,-8,-17,-257,-308,-349,-440
1,-4,-6,-3,-9,14,-8,-4,23,30,78,-72
-13,12,7,10,16,-11,13,-15,-52,-37,242,-227
-16,-17,-10,4,6,19,-19,-13,227,-83,-136,-242
6,5,-3,0,16,-5,2,-17,106,-115,-48,15
17,-8,-18,4,-16,-15,6,-6,-320,-207,312,246
13,6,-2,-11,4,12,-13,11,-26,222,135,-145
9,4,17,20,19,-6,-11,16,127,10,103,218
14,-6,4,-6,-1,9,-13,-3,64,144,74,54
9,17,8,-15,-3,1,-6,4,-129,77,66,-52
-10,7,-10,-10,-3,-11,-12,17,-54,229,150,-60
18,20,5,-7,7,-6,13,-12,386,-348,-56,54
-14,-10,11,14,18,-12,-5,8,-202,88,128,-20
-18,-13,17,0,19,6,-8,15,-238,-303,323,102
7,5,14,-15,4,3,12,-11,88,-34,-124,207
10,-3,-12,-4,5,8,-2,-16,56,128,-52,-32
-16,17,-1,13,-14,-15,-19,-14,-99,2,-233,-167
-20,-15,-11,-1,13,-16,0,-17,-260,575,-143,193
-12,-16,-2,-18,-2,6,-6,-7,120,40,112,114
-11,-14,-12,18,0,0,-9,-4,126,56,-162,-72
11,15,-8,-5,-3,0,15,-12,192,-180,-51,60
-17,-15,-19,-13,-2,-7,6,-13,-56,314,-40,302
-19,-19,-19,20,3,10,1,8,-76,-342,-37,-30
19,-12,0,7,-11,-16,-7,-2,-125,-280,-49,-14
15,4,3,-13,-2,-8,5,-2,-10,-128,-71,2
-1,-13,13,-3,17,6,11,-5,-160,59,188,93
17,10,16,15,-8,10,-12,-2,-256,150,-308,130
6,7,8,12,-16,-2,-16,-11,-208,-89,-320,-148
-14,18,10,7,16,-4,-4,3,-296,110,132,-19
0,-3,-4,-5,19,11,11,18,-33,-54,-131,-134
8,-18,-17,11,14,-11,-16,5,400,-178,-414,242
7,-3,-20,3,9,1,-6,-1,81,10,-198,-23
-12,-9,10,-18,-15,2,-12,0,288,-24,66,20
1,12,-3,14,-1,6,5,-7,59,-78,73,-116
0,18,4,-5,19,10,10,-3,180,-54,26,55
20,0,-13,-19,-8,3,10,-14,-160,60,-86,227
-3,-20,13,6,-16,10,10,20,-152,-430,-148,250
12,-7,-18,9,5,13,-2,-8,74,212,-108,-306
9,17,-7,-4,-1,-18,7,20,110,178,-21,46
-8,-19,1,20,15,17,-3,-17,-63,187,-45,-323
-12,19,2,7,16,16,-5,-4,-287,-268,-3,4
15,8,-14,1,1,1,-9,2,-57,31,-23,-12
15,-15,13,-19,-3,-20,-6,-15,45,-75,75,25
20,16,-15,-9,-7,-8,-9,-3,-284,-208,186,147
16,-6,18,-3,-16,9,-11,18,-190,36,-255,108
-3,-12,-17,8,-4,18,-19,-11,240,78,-84,-394
15,16,-18,-12,4,-8,14,-16,284,-376,-240,336
-15,-2,-1,14,3,-10,15,-10,-75,170,207,-130
16,4,-1,-12,-11,-12,-19,13,-252,-140,239,-144
-3,3,-4,-20,19,1,-1,-1,-60,-6,-56,16
9,-4,16,11,12,-6,-10,-18,148,18,82,-294
-18,8,-15,8,-6,-17,14,15,220,426,202,375
9,0,18,-5,6,-6,-6,-4,54,-54,138,-88
14,-12,-18,-10,11,-5,8,5,58,-130,-278,40
5,4,-7,-15,-17,13,-10,2,-125,73,269,-121
-3,-17,-9,-16,-17,20,-2,-13,85,161,185,28
2,-16,17,-14,-13,17,18,6,-314,-62,-473,205
-20,-2,-12,-20,-12,-3,-9,8,258,44,324,-124
14,-11,-18,-15,19,14,5,-15,211,361,-417,-27
7,-19,-1,-8,-8,-6,-2,-18,-18,300,24,150
-19,-20,-7,2,14,0,8,-20,-426,400,-82,-40
-15,13,-7,-15,-15,17,11,-8,368,-359,-60,1
-9,-13,20,5,-20,-8,-3,-18,219,306,-415,-250
16,-3,0,-5,0,-19,-11,-20,33,-244,55,100
19,-11,3,-10,-5,-18,-17,1,92,-353,155,-64
-1,-13,15,15,19,-11,-17,-4,202,63,30,-225
-7,-3,-4,18,-18,5,-3,-9,135,-8,18,-182
6,-14,-5,-18,-15,13,3,-5,-132,148,21,25
12,18,1,12,7,1,1,3,102,66,19,37
-8,-18,3,16,11,-13,-18,1,236,86,-255,-23
11,19,-14,-18,-10,-11,-14,6,-376,-7,392,46
-4,8,-19,-3,16,-18,-13,19,-168,224,-265,285
-10,10,1,5,12,-10,3,14,-90,240,27,60
19,16,9,13,-14,-13,6,-5,-170,-327,-48,-182
-8,-7,-3,15,18,4,5,-17,-179,87,21,-267
2,-15,15,-14,-20,-18,-3,4,5,-96,-258,-326
-15,10,12,7,-4,-18,6,-15,120,120,-6,-321
-16,-2,-2,-2,12,5,-12,-14,-168,-52,0,18
-4,-11,-15,-17,-1,2,-20,2,224,-30,355,-64
6,0,-13,9,2,-15,14,19,12,-90,100,366
8,18,-11,-7,18,13,-16,-7,-144,-22,-86,-94
8,14,10,-11,-18,19,-16,-2,-368,124,-4,212
4,-6,-19,-9,13,8,13,-12,-26,104,-364,-44
17,-11,-12,1,14,-8,-19,-6,447,-70,-187,90
-14,-12,-15,-2,-7,13,10,-20,-22,58,85,-155
-5,-15,8,19,20,-1,13,-15,-295,230,407,-293
-16,-12,-11,5,-14,9,2,-16,200,48,164,-179
10,15,-17,-14,-8,3,-16,-1,-320,15,360,-37
-12,3,-3,-14,-16,-6,1,4,195,84,34,-38
11,-4,10,-5,5,2,-13,14,107,-34,115,-50
-20,18,5,-20,2,-17,17,-6,266,232,-330,35
-4,-6,-12,20,10,-8,-10,-15,20,122,-320,-204
19,-12,7,20,-13,-11,15,-16,-427,-17,209,-397
15,-1,18,-19,14,3,-11,19,221,26,461,-307
-12,-17,0,18,9,9,4,-6,-176,-6,72,-108
-4,1,-14,-3,-2,-8,12,-14,20,18,-8,154
18,0,-12,4,2,5,-10,18,36,90,-64,12
20,7,-19,20,-9,17,3,4,-159,368,231,-243
-11,8,14,12,-17,6,-6,17,139,70,-310,288
-12,9,-5,3,-15,15,19,0,351,-180,132,-75
13,-2,-4,20,-5,16,16,-6,-97,220,340,-184
7,13,13,14,15,1,0,2,105,33,195,41
-17,-20,1,-10,-2,-7,9,7,-146,-21,-92,-77
-2,-20,4,-19,5,10,-19,20,370,-420,381,-340
-8,15,13,9,18,1,11,-20,21,-308,333,-167
-17,-6,-11,-11,4,-13,15,-19,-158,335,-209,352
-1,-1,-11,-9,5,-2,-11,6,6,-4,44,-32
20,-18,0,12,-6,19,18,14,-444,128,216,168
17,17,10,-9,0,-16,1,1,17,-255,-9,-169
16,14,18,7,-16,20,-1,13,-270,502,-295,451
-8,16,-12,15,-7,13,9,-2,200,-136,219,-186
-18,15,12,13,14,15,3,0,-207,-270,207,180
-20,-5,-19,-14,5,2,10,11,-150,-95,-235,-192
15,-18,-10,-9,-6,-10,5,-3,-180,-96,15,127
5,-20,-20,-1,-17,-13,0,-12,-85,175,340,272
-17,-11,6,-9,16,9,0,14,-272,-307,96,-72
6,-11,1,10,-1,12,-7,-5,71,127,-71,-38
-11,-2,-10,-17,16,6,10,3,-196,-72,-330,-111
-2,2,-19,-13,12,6,15,20,6,28,-423,-374
-1,-12,-16,-5,12,3,-13,13,144,-159,-127,-113
2,20,-5,-18,2,-18,-18,-18,-356,-396,314,414
-19,0,-13,6,-16,-18,-19,5,304,342,94,264
-13,14,-9,16,-17,-9,-17,-8,-17,5,-119,-47
-9,10,-14,-15,-11,-18,19,7,289,232,-131,147
20,-3,-19,3,12,-12,15,-8,195,-216,-183,204
11,16,-2,3,1,-16,15,-5,251,-256,43,17
-9,-12,7,7,-10,7,4,-20,42,177,-42,-91
-10,-17,-10,18,-12,5,19,15,-203,-305,462,220
16,16,-7,-9,-4,-17,6,-17,32,-544,-26,272
-16,-11,-9,9,12,13,-8,-8,-104,-120,-180,-189
19,-4,-7,-20,4,-1,0,1,76,-23,-28,-13
8,-8,-12,-11,4,19,-4,-16,64,280,-4,-52
-1,12,-5,-13,17,17,7,-6,67,-89,-176,-7
-20,14,11,18,-3,-13,1,3,74,302,-15,-89
16,12,14,-1,6,20,-18,14,-120,488,102,266
-9,-11,-2,-9,-6,-19,19,10,-155,61,-159,-52
-20,-20,1,-5,-6,-12,-15,15,420,-60,69,-87
-4,-9,0,6,14,-6,-20,17,124,-129,-120,102
13,-17,17,-17,-14,-20,-17,-13,107,-39,51,-119
3,-17,-3,-5,18,14,-20,12,394,-162,46,-102
1,8,4,-1,3,16,10,11,83,104,2,53
-11,-14,-19,-16,17,6,10,10,-327,-206,-483,-274
-19,4,3,4,-1,-6,20,-3,99,102,77,-30
4,6,-4,10,13,-4,-12,-4,-20,-40,-172,-24
8,-14,14,-13,4,5,-13,-6,214,124,225,148
-8,-13,10,15,16,19,12,-15,-284,43,340,-35
-13,20,-7,19,4,3,-13,13,-312,221,-275,226
-4,20,-15,15,13,-13,19,-20,328,-348,90,-105
5,-11,0,-11,16,19,-1,4,91,51,11,-44
-15,-6,5,13,-15,-18,-12,-5,297,300,-231,-155
-2,6,7,20,14,14,-13,-3,-106,-46,-162,38
12,9,20,-20,-16,18,10,6,-102,270,-520,240
-5,20,-19,1,15,14,2,-16,-35,-390,-283,-282
20,19,5,6,-10,-6,6,1,-86,-101,-14,-24
16,5,-19,6,-18,20,-12,-17,-348,235,270,-482
6,9,-11,3,-2,-10,9,-16,69,-204,49,62
-16,-7,13,15,15,16,-12,14,-156,-354,15,418
0,20,-2,-4,5,1,6,-9,120,-180,-34,34
7,11,14,14,1,-14,11,20,128,122,168,84
-9,-13,-5,3,11,-3,-15,20,96,-233,-100,75
-5,6,17,-6,-14,-15,6,15,106,165,-274,-345
-18,-15,19,6,-12,-19,15,20,-9,42,-138,-241
-10,5,-18,9,20,1,20,2,-100,0,-180,0
3,14,2,-19,14,-9,-13,-7,-140,-125,275,115
6,-2,-19,-14,8,14,-7,16,62,52,-54,-490
17,-9,-9,18,9,-16,11,-13,54,-155,117,-90
20,-10,17,-17,19,-14,-15,-12,530,-160,578,-34
12,11,-16,-8,19,10,-7,7,151,197,-248,-216
10,16,-5,-3,18,-20,-7,18,68,88,-69,46
19,4,4,10,12,0,9,-13,264,-52,138,-130
19,-18,-5,-12,-19,8,-11,-2,-163,188,227,-16
5,-19,2,-10,-19,-13,-12,19,133,-426,82,-216
7,-15,-10,-7,10,-4,20,2,-230,-58,-240,26
-6,12,13,-19,-16,15,0,-14,96,-258,-208,461
1,19,-18,-2,-4,-5,6,11,110,204,60,68
-9,4,-12,18,-2,7,-3,11,6,-19,-30,114
4,-5,20,0,-15,13,-16,5,20,27,-300,260
11,-17,11,-6,-4,0,-9,-8,109,136,10,48
12,-9,-10,8,-17,-9,-9,9,-123,-189,98,162
9,-20,2,16,-1,-18,0,-19,-9,218,-2,-340
-17,-10,8,4,-12,6,1,19,194,-292,-92,124
17,15,12,15,11,19,11,20,352,623,297,528
-10,9,8,5,-14,-5,16,14,284,176,-32,30
18,-9,5,-2,10,16,15,4,45,252,20,72
16,-20,-10,-11,-16,-14,0,-14,-256,56,160,294
-3,11,-18,-20,-1,10,-17,-2,-184,-52,358,-140
9,-10,12,5,6,-19,7,-11,-16,-61,107,-283
9,17,-8,-18,8,19,20,11,412,358,-424,-350
-3,-1,18,13,11,-17,7,-6,-40,57,289,-384
13,9,12,1,19,-15,3,-12,274,-303,231,-192
-11,12,-20,-12,3,4,-19,-14,-261,-212,168,88
-3,14,-14,2,10,-17,2,18,-2,303,-136,274
9,-15,-12,20,2,-9,12,-17,-162,174,216,-232
6,3,-8,0,9,1,-20,3,-6,15,-72,-8
10,9,-10,-16,13,-7,-11,5,31,-25,46,-10
-11,1,17,5,7,-5,-12,3,-89,58,59,-70
-7,19,7,-10,-18,11,-19,-14,-235,-343,64,217
-15,-17,-7,1,7,-2,-13,-1,116,47,-62,13
19,-17,-20,17,-2,1,-11,0,149,19,-147,-20
-14,3,12,-1,-9,5,-9,11,99,-37,-99,49
-17,-1,-17,17,5,9,-12,11,-73,-164,-289,34
6,5,-15,-9,-12,-20,13,8,-7,-80,63,228
0,-11,12,17,5,-16,-7,-4,77,44,-59,-260
-16,-7,-6,-19,-13,-15,-13,-17,299,359,325,413
-9,-16,11,9,1,0,-14,-17,215,272,-115,-153
-13,9,-18,-5,-6,-15,11,-20,177,15,53,370
-20,18,16,20,-9,-2,5,13,270,274,-44,228
-7,-6,18,15,1,-15,3,12,-25,33,63,-90
-20,0,-17,2,6,3,9,-3,-120,-60,-84,-57
-8,12,18,-11,-8,-1,-9,-17,-44,-196,-45,169
7,-17,6,-14,10,18,-5,13,155,-95,130,-74
4,-6,20,20,-12,-13,-12,-8,24,-4,-480,-420
8,-9,-5,-11,-19,-18,0,9,-152,-225,95,-9
-13,18,17,5,18,12,8,-5,-90,-246,346,179
14,18,-19,-13,-13,-12,10,-20,-2,-528,117,488
-10,-10,12,4,0,6,-3,12,30,-180,-12,120
8,10,-2,7,1,-7,11,-5,118,-106,75,-21
7,-20,-3,-2,-16,-11,-7,20,28,-477,62,-7
10,-14,-8,10,5,7,-18,-20,302,350,-220,-256
19,-10,-3,0,18,-15,2,-9,322,-195,-54,45
-15,18,0,4,9,17,1,-1,-117,-273,4,-4
1,-6,-15,18,-15,17,1,-3,-21,35,243,-309
18,-2,9,-16,-3,20,-9,17,-36,326,117,-92
-10,0,14,-15,-8,20,3,13,80,-200,-157,85
-17,15,-8,0,-11,-2,-9,16,52,274,88,16
8,10,6,14,-13,-5,-9,-3,-194,-70,-204,-72
-3,-15,-6,-17,11,2,15,3,-258,-51,-321,-63
-19,-15,-9,7,-10,1,14,12,-20,-199,188,75
13,-20,4,1,11,2,-3,-4,203,106,41,4
0,-20,-7,17,-2,-15,10,9,-200,-180,184,258
11,7,9,11,-1,13,-8,2,-67,157,-97,139
-15,12,-12,-15,5,2,-2,17,-99,174,-30,-279
-16,-4,15,-8,-14,4,1,7,220,-92,-218,4
-1,-3,11,0,6,20,-19,-11,51,13,66,220
-15,12,4,-7,19,-17,10,17,-165,459,6,-187
16,-16,7,16,-6,7,-19,16,208,-144,-346,305
18,-3,6,-5,-11,17,-11,5,-165,291,-11,77
-4,5,12,18,-3,19,-12,-14,-48,-146,-252,-24
-16,-11,1,-13,11,-15,-18,-20,22,460,245,245
-13,11,-19,18,-20,-16,6,6,326,274,488,412
-4,-6,18,1,19,-9,-15,13,14,-42,327,-149
17,-16,-16,-16,-5,8,6,-12,-181,328,-16,64
-9,12,-7,10,2,-8,18,-2,198,48,166,36
-16,-4,8,-20,-8,-11,-9,5,164,156,116,-188
-14,10,-20,12,1,-13,-16,-11,-174,72,-212,128
-11,-12,17,-6,12,-18,0,-14,-132,366,204,-222
11,9,-19,7,-10,13,-15,12,-245,251,85,-163
-20,2,-16,5,3,-2,-14,-8,-88,24,-118,-8
-15,-19,-15,2,-4,17,-2,-11,98,-46,56,-277
-13,-16,-14,18,-17,-11,15,-5,-19,223,508,64
10,17,1,1,-14,20,-15,8,-395,336,-29,28
11,-11,17,10,-10,8,0,-20,-110,308,-170,-64
-19,-7,13,8,-17,-7,-5,-18,358,259,-261,-235
-8,0,15,1,-3,10,-8,19,24,-80,-53,169
-18,19,17,7,14,-6,7,-8,-119,-44,287,-158
20,-8,-3,-8,-8,3,2,12,-176,-36,8,-105
-9,5,6,0,-10,-5,0,12,90,105,-60,-30
12,16,4,16,18,-5,9,4,360,4,216,44
10,13,-12,13,9,8,-16,-11,-118,-63,-316,-239
12,14,8,-12,5,13,3,-16,102,-68,4,296
-15,-16,-20,-18,-1,0,16,-5,-241,80,-268,90
-4,-7,-19,15,13,11,-19,19,81,-177,-532,76
4,7,-3,1,9,13,15,18,141,178,-12,-21
-19,-3,-9,-17,-13,-17,0,-19,247,380,117,476
-10,-17,-8,-13,-16,-16,-20,-17,500,449,388,349
2,5,-18,-7,-6,10,-15,12,-87,80,213,-264
-8,19,18,17,11,16,6,11,26,81,300,475
15,15,-16,-16,-6,6,15,7,135,195,-144,-208
-17,5,-15,3,11,-10,-17,-17,-272,85,-216,99
1,-8,1,-1,-17,10,11,-18,-105,154,-28,28
16,-5,1,-16,17,12,6,-5,242,217,-79,92
-1,15,-6,0,5,-17,-7,12,-110,197,-30,102
18,-10,14,-2,-4,7,-15,-6,78,186,-26,110
-11,9,-8,2,3,-13,-20,1,-213,152,-64,106
-3,5,10,-1,10,5,-15,10,-105,35,115,40
8,12,20,-13,-7,-6,-9,12,-164,96,-23,-276
-2,-20,-18,3,-6,16,-17,-3,352,28,57,-297
8,0,-2,-4,11,5,0,6,88,40,-22,-34
2,-1,-14,10,-12,0,11,2,-35,-2,278,20
-3,-9,7,16,-11,-9,-8,14,105,-99,-205,161
17,18,-4,-18,9,7,-6,-20,45,-241,72,332
-7,15,-13,4,-5,9,-5,-5,-40,-138,45,-137
20,16,-16,7,3,-5,10,10,220,60,22,150
2,-14,14,-1,-16,16,-20,17,248,-206,-204,207
9,1,11,-8,-3,16,-11,3,-38,147,55,152
-19,0,-15,12,-17,14,-3,-17,323,-266,219,-414
12,9,-1,-7,0,1,-5,9,-45,93,35,-64
16,11,-7,-11,-2,-20,-1,16,-43,-144,25,-36
10,14,10,-20,10,17,-4,1,44,184,180,150
-9,2,19,-17,-20,-11,9,-11,198,77,-533,-22
6,-7,-6,-17,5,-9,-12,-6,114,-12,174,156
0,-15,0,11,10,-3,20,1,-300,-15,220,11
9,19,-12,12,-13,8,11,19,92,433,288,132
-20,8,9,8,10,-2,19,3,-48,64,242,6
4,-17,-9,-19,20,-7,16,-16,-192,244,-484,367
-9,-14,17,4,-11,-20,-14,-20,295,460,-243,-420
14,15,-15,18,6,-9,13,-12,279,-306,144,-81
11,11,-14,0,5,-20,-16,-20,-121,-440,-70,280
-17,11,15,0,-18,0,-5,9,251,99,-270,0
1,5,16,-3,0,-6,-4,11,-20,49,12,-129
-17,-9,-20,-17,-3,-7,13,8,-66,47,-161,4
0,20,-17,3,-19,0,-15,13,-300,260,278,39
